iso3,name,lat,lon
121,Siachen-Saltoro,35.36858318599339,77.16301732166951
122,Koualou,11.008001051795885,0.944798331234392
123,Liancourt Rocks,37.241180176705235,131.86520638047725
124,No Man's Land,31.862888673382763,35.01330070674133
125,Paracel Is,16.834755033299377,112.32975665739038
126,Sanafir & Tiran Is.,27.952879682482507,34.55179833195018
127,Senkakus,25.74367062476248,123.4744118567811
128,Spratly Is,11.441309010335518,114.33637333269877
129,West Bank,31.9427474481135,35.25726257480428
ESH,Western Sahara,24.6591936539461,-13.135435496608906
